Date,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y
2011-07-13,0.130327,0.365086,0.628557,1.02215,1.46147,1.85044,2.17141,2.45734,2.72316,2.96166
2011-07-14,0.035323,0.370505,0.664452,1.0633,1.50103,1.89578,2.21585,2.5053,2.77436,3.01405
2011-07-15,0.118855,0.360926,0.636675,1.02573,1.45612,1.84627,2.16882,2.46276,2.73873,2.98137
2011-07-18,0.135924,0.358692,0.627991,1.01188,1.44123,1.8344,2.16117,2.45922,2.73787,2.98484
2011-07-19,0.194299,0.379902,0.639887,1.02601,1.45752,1.83827,2.15848,2.45432,2.72276,2.96356
2011-07-20,0.17844,0.379928,0.653447,1.05329,1.49203,1.88156,2.20548,2.49453,2.76428,3.00666
2011-07-21,0.197621,0.407265,0.698072,1.11714,1.56302,1.96011,2.28245,2.57235,2.84263,3.08243
2011-07-22,0.207015,0.395372,0.679229,1.09675,1.53195,1.92045,2.24166,2.52922,2.80012,3.03778
2011-07-25,0.241975,0.416395,0.69679,1.11018,1.55038,1.9442,2.2695,2.56009,2.83339,3.0758
2011-07-26,0.239951,0.397864,0.665361,1.066,1.50564,1.89576,2.21995,2.51114,2.77853,3.02273
2011-07-27,0.253255,0.439448,0.710801,1.11064,1.54692,1.93652,2.2633,2.54486,2.80897,3.04988
2011-07-28,0.211788,0.412957,0.685364,1.08229,1.51983,1.90889,2.23355,2.5158,2.78105,3.02401
2011-07-29,0.286185,0.354369,0.564038,0.942891,1.36297,1.75197,2.08659,2.37685,2.64614,2.8837
2011-08-01,0.255842,0.356377,0.549985,0.899637,1.30913,1.69209,2.02701,2.31806,2.58629,2.82399
2011-08-02,0.212107,0.320886,0.506194,0.83489,1.22966,1.59669,1.92208,2.21392,2.47608,2.71158
2011-08-03,0.198408,0.326689,0.52167,0.856683,1.24077,1.59189,1.91032,2.19375,2.45464,2.68721
2011-08-04,0.204874,0.274454,0.463593,0.772445,1.13178,1.47097,1.77996,2.06552,2.32604,2.55311
2011-08-05,0.178414,0.285935,0.520846,0.876461,1.25631,1.60076,1.90753,2.18124,2.4318,2.64875
